,feature,count
14102,cooing,19.0
14111,cookes,13.0
14117,cookoff,16.0
14119,cookouts,17.0
14126,coolatta,19.0
14131,cooley,19.0
14135,coolish,13.0
14136,coolly,10.0
14139,cooly,10.0
14140,coon,16.0
14141,coons,12.0
14143,cooool,16.0
14144,coooool,14.0
14156,coops,18.0
14166,coos,16.0
14168,coozie,10.0
14169,coozies,11.0
14172,copacabana,19.0
14173,copacetic,11.0
14177,copayment,19.0
14178,copays,16.0
14180,copeaux,11.0
14182,copeland,17.0
14186,copiers,15.0
14188,copieuse,14.0
14192,copines,17.0
14195,copiously,18.0
14202,coppers,14.0
14203,copperstar,12.0
14204,copperwynd,15.0
14205,coppery,10.0
14206,copping,16.0
14210,copter,11.0
14213,copycats,14.0
14216,copyrighted,12.0
14217,copyrights,13.0
14219,coquette,12.0
14221,coquilles,19.0
14228,corbett,13.0
14231,corcoran,13.0
14233,cordeiro,16.0
14235,cordes,12.0
14237,cordiality,17.0
14248,cores,17.0
14254,corina,13.0
14266,corm,14.0
14268,cornball,11.0
14271,cornbreads,17.0
14277,cornedbeef,13.0
14279,cornell,12.0
14285,cornerstones,10.0
14287,cornets,13.0
14293,cornicing,10.0
14304,coronarita,13.0
14308,coroner,13.0
14309,coronita,16.0
14310,coronitas,18.0
14314,corporates,19.0
14317,corporatized,17.0
14323,corralling,15.0
14326,correctable,12.0
14329,correctement,19.0
14330,correctes,17.0
14340,correlates,16.0
14345,correspondences,13.0
14352,corroborate,13.0
14353,corroborated,14.0
14364,corsendonk,10.0
14367,corsten,13.0
14370,cortada,16.0
14374,corteous,14.0
14377,cortney,17.0
14379,corvettes,14.0
14383,coréenne,19.0
14388,cosey,12.0
14390,cosier,18.0
14391,cosiness,10.0
14393,cosmetically,18.0
14399,cosmoplitan,12.0
14400,cosmopolitain,13.0
14406,cosmétiques,12.0
14408,cosplayers,13.0
14411,costanza,19.0
14418,costillas,17.0
14420,costlier,18.0
14423,costomer,15.0
14435,coterie,16.0
14445,cotten,12.0
14446,cotter,14.0
14447,cotti,15.0
14454,couche,17.0
14455,couched,12.0
14457,coucous,19.0
14459,coudl,15.0
14468,coulant,17.0
14476,couln,10.0
14478,coun,16.0
14481,counseled,19.0
14488,countenance,14.0
14491,counteracted,18.0
14493,counterbalanced,16.0
14494,counterclockwise,14.0
14498,countering,11.0
14499,counterintuitive,16.0
14506,counterspace,15.0
14514,countryish,10.0
14520,coupable,13.0
14534,cour,16.0
14547,coursework,13.0
14558,courting,15.0
14566,courvoisier,11.0
14573,coussins,19.0
14575,couteous,14.0
14576,coutu,11.0
14578,couvert,12.0
14579,couverte,14.0
14580,couverts,13.0
14581,couvre,10.0
14583,coved,12.0
14587,coveralls,12.0
14588,coverd,10.0
14592,coverlet,10.0
14594,coversation,18.0
14596,covertly,15.0
14598,coverups,13.0
14608,cowards,16.0
14612,cowbro,15.0
14613,cowell,16.0
14614,cower,14.0
14621,cowl,13.0
14632,coyly,14.0
14638,cozies,11.0
14645,cozymel,18.0
14649,coûtent,18.0
14650,coûteux,14.0
14659,cpks,15.0
14661,cpo,15.0
14666,cra,16.0
14667,craaazy,11.0
14670,crabbies,15.0
14678,crabstick,13.0
14683,crackerjack,15.0
14686,crackery,18.0
14693,crackles,17.0
14703,crafsteak,19.0
14717,craftsy,11.0
14720,craggy,19.0
14735,crampy,11.0
14736,crams,18.0
14750,crankier,13.0
14751,crankin,13.0
14752,crankiness,12.0
14756,cranmore,18.0
14759,crans,17.0
14768,crappie,11.0
14771,crappily,10.0
14772,crappiness,17.0
14780,craque,10.0
14782,craqué,16.0
14791,crater,17.0
14792,craters,14.0
14798,cravers,16.0
14800,craveworthy,13.0
14814,crawlies,19.0
14817,crawly,14.0
14821,crayola,19.0
14837,creaks,15.0
14845,creameries,16.0
14852,creamless,17.0
14854,creamscicle,12.0
14860,creat,16.0
14871,creatives,18.0
14878,credence,15.0
14880,credenza,17.0
14888,creds,18.0
14892,creekstone,13.0
14893,creemore,11.0
14907,cremas,12.0
14914,creo,18.0
14917,crepas,18.0
14925,crescents,14.0
14930,cressi,15.0
14931,cressida,14.0
14932,cresson,11.0
14935,crestfallen,19.0
14936,crete,11.0
14937,cretins,12.0
14939,cretons,16.0
14948,cri,18.0
14951,crick,19.0
14955,crier,18.0
14957,crikey,15.0
14964,crimp,10.0
14968,cringes,19.0
14974,criolla,12.0
14976,crip,18.0
14986,crise,11.0
14993,crispest,16.0
14994,crispie,16.0
15001,crispity,18.0
15008,crissakes,10.0
15009,crisscut,16.0
15010,crissy,15.0
15012,cristianos,19.0
15015,cristos,18.0
15016,cristy,12.0
15036,critères,10.0
15038,crm,11.0
15040,croak,10.0
15041,croaker,14.0
15042,croaking,11.0
15043,croatia,16.0
15047,crocheted,13.0
15048,crocheting,19.0
15052,crockett,14.0
15054,crocks,11.0
15061,croisant,16.0
15065,croix,15.0
15072,cronkite,11.0
15077,crookedly,10.0
15079,croon,14.0
15080,crooned,10.0
15082,crooners,14.0
15089,croquante,11.0
15090,croquants,11.0
15092,croques,10.0
15094,croqueta,16.0
15104,crossant,19.0
15105,crossants,13.0
15106,crossbody,15.0
15107,crossbones,10.0
15108,crosscut,11.0
15111,crossfire,16.0
15114,crossfitters,18.0
15115,crossfitting,13.0
15121,crossroad,14.0
15123,crosstown,13.0
15127,crosswords,10.0
15134,crotches,17.0
15137,crouched,17.0
15140,croupiers,12.0
15144,croustillants,17.0
15149,crowbar,19.0
15153,crowdie,16.0
15157,crowe,14.0
15160,crowes,14.0
15161,crowing,16.0
15162,crowley,17.0
15169,croyais,14.0
15172,croûtons,10.0
15173,crsipy,12.0
15174,crsvr,14.0
15180,cruciferous,11.0
15181,crucified,10.0
15182,crucifix,19.0
15191,crudité,11.0
15194,crudos,14.0
15197,cruella,16.0
15198,cruellers,12.0
15199,cruelly,14.0
15225,crunchie,14.0
15228,crunchiest,17.0
15232,crunchity,12.0
15234,crunchyness,12.0
15237,crus,10.0
15244,crusing,11.0
15253,crustinis,16.0
15265,crybabies,10.0
15266,crybaby,17.0
15280,créatif,15.0
15281,créatifs,11.0
15282,création,15.0
15285,crée,11.0
15290,crême,12.0
15299,csl,16.0
15304,cta,12.0
15305,ctm,17.0
15311,cuase,17.0
15318,cubanita,17.0
15322,cubbie,15.0
15333,cucaracha,12.0
15334,cucarachas,11.0
15341,cucumbery,15.0
15342,cud,18.0
15345,cuddles,11.0
15350,cued,18.0
15351,cueing,14.0
15352,cuenta,11.0
15356,cuffed,19.0
15361,cuh,11.0
15362,cuillère,14.0
15364,cuire,10.0
15371,cuisiné,10.0
15372,cuisinés,18.0
15375,cuissons,13.0
15386,culinaires,14.0
15391,culminate,11.0
15399,cultish,13.0
15402,cultivates,11.0
15408,culturelle,11.0
15417,cumbias,12.0
15421,cumulatively,10.0
15422,cun,15.0
15425,cunt,19.0
15426,cunts,14.0
15427,cuoco,16.0
15438,cupful,15.0
15450,curating,18.0
15454,curbage,14.0
15461,curdling,18.0
15467,curieuse,14.0
15474,curiosité,18.0
15480,curler,15.0
15487,curmudgeonly,10.0
15496,currie,15.0
15507,cursor,17.0
15510,curtail,16.0
15521,curvature,13.0
15523,curveball,15.0
15526,curvier,10.0
15529,cury,16.0
15532,cush,17.0
15540,cusines,13.0
15541,cusotmer,17.0
15550,custer,15.0
15551,custmer,10.0
15552,custodian,16.0
15555,customarily,13.0
15557,custome,12.0
15560,customise,19.0
15570,custumers,11.0
15579,cutey,11.0
15589,cutoffs,16.0
15590,cutomer,17.0
15593,cutrer,17.0
15595,cutsey,15.0
15598,cuttery,13.0
15602,cuttings,15.0
15603,cuttle,10.0
15607,cuzamil,16.0
15612,cxl,17.0
15616,cyberspace,15.0
15617,cybex,14.0
15628,cyclops,12.0
15646,czar,18.0
15649,célèbre,19.0
15650,célébrer,18.0
15651,céréales,15.0
15659,d9,12.0
15672,dacha,19.0
15675,dachshunds,15.0
15686,daffy,16.0
15688,dafuq,13.0
15690,dag,12.0
15692,dagegen,19.0
15698,dahi,12.0
15699,dahin,19.0
15700,dahinter,10.0
15702,dahmer,13.0
15712,daing,14.0
15717,dairies,18.0
15720,dais,13.0
15727,dakine,13.0
15730,dalai,12.0
15731,dalat,15.0
15737,dallied,15.0
15738,dallop,19.0
15740,dallying,13.0
15741,dalmatian,17.0
15750,damals,16.0
15756,damiana,17.0
15761,dammed,14.0
15766,damnedest,13.0
15769,damnn,10.0
15770,damnnn,18.0
15776,dampens,18.0
15778,dampness,11.0
15792,dancewear,15.0
15799,dander,14.0
15800,dando,13.0
15804,daneben,14.0
15811,dangereux,11.0
15812,dangerfield,10.0
15821,dango,15.0
15823,danica,18.0
15825,daniela,14.0
15827,daniella,16.0
15834,dankest,10.0
15837,danna,13.0
15838,danni,13.0
15839,dannon,17.0
15846,danville,17.0
15847,danyal,17.0
15849,daou,11.0
15860,daraufhin,11.0
15861,daraus,10.0
15873,daria,14.0
15876,daringly,11.0
15896,darndest,13.0
15898,darnedest,12.0
15905,darrin,17.0
15914,darum,12.0
15928,dastardly,13.0
15932,databases,13.0
15935,dateline,16.0
15938,dattes,16.0
15940,daube,12.0
15941,dauber,15.0
15942,dauern,11.0
15948,daughtry,15.0
15949,daugter,10.0
15964,davies,11.0
15970,dawdle,19.0
15971,dawdled,12.0
15972,dawdling,13.0
15980,dayam,14.0
15984,daybreak,14.0
15991,daydreamed,15.0
15998,dayshift,10.0
16010,dazzler,12.0
16011,dazzles,10.0
16026,dca,13.0
16032,ddeokbokki,14.0
16033,ddnt,11.0
16034,ddo,14.0
16038,ddukbokki,18.0
16041,deactivate,12.0
16046,deaden,18.0
16047,deadening,17.0
16048,deader,10.0
16049,deadhead,16.0
16050,deadliest,18.0
16052,deadlifts,17.0
16059,deafen,10.0
16060,deafened,17.0
16076,dealy,13.0
16080,deanne,18.0
16081,deans,15.0
16084,dearer,16.0
16087,dears,19.0
16090,deathbed,14.0
16093,deaw,14.0
16101,debauched,11.0
16102,debaucheries,13.0
16113,debits,11.0
16114,debonair,13.0
16122,debts,18.0
16123,debunked,12.0
16126,debuting,11.0
16128,decadant,19.0
16142,decanting,14.0
16143,decapitated,18.0
16147,decayed,17.0
16151,deceided,16.0
16170,decidely,18.0
16171,decider,14.0
16174,decied,16.0
16181,decir,18.0
16185,decisively,14.0
16193,declarations,14.0
16198,declawed,17.0
16204,declious,17.0
16207,decoded,10.0
16208,decomposed,14.0
16209,decomposing,16.0
16211,decompressing,10.0
16232,decos,14.0
16234,decouverte,11.0
16235,decoy,17.0
16241,decy,15.0
16242,ded,14.0
16252,deductable,15.0
16255,deductibles,17.0
16259,deductive,11.0
16260,deducts,10.0
16267,deeeee,12.0
16268,deeeeeeelicious,11.0
16270,deeeeeelish,10.0
16279,deejays,14.0
16280,deelicious,19.0
16284,deeming,13.0
16289,deepdish,13.0
16290,deepen,19.0
16291,deepened,13.0
16297,deere,17.0
16298,deers,10.0
16303,defacto,15.0
16308,defaulting,10.0
16319,defence,19.0
16322,defender,16.0
16328,defenseless,17.0
16329,defenses,17.0
16335,deferential,12.0
16337,deferring,19.0
16340,deffinatly,15.0
16342,deffinitely,17.0
16343,defiance,13.0
16344,defiant,17.0
16352,deficits,10.0
16354,defiently,11.0
16356,defiinitely,12.0
16357,definable,12.0
16358,definably,11.0
16366,definelty,13.0
16367,definely,12.0
16371,definetley,18.0
16373,definiately,19.0
16378,definitelty,10.0
16390,defintley,14.0
16394,deflating,17.0
16396,deflected,15.0
16401,defrauded,11.0
16402,defray,10.0
16406,defs,13.0
16409,deftones,14.0
16411,defuse,13.0
16415,degas,10.0
16417,degenerated,13.0
16419,degenerative,19.0
16420,degradable,12.0
16429,degrés,12.0
16431,dehli,17.0
16438,deiced,17.0
16439,deifnitely,10.0
16443,deities,16.0
16445,dej,14.0
16447,dejavu,14.0
16454,dekoriert,15.0
16465,delecious,16.0
16466,delectability,10.0
16471,delegate,16.0
16472,delegated,15.0
16477,delfina,13.0
16478,delfrisco,13.0
16492,delicateness,16.0
16496,delicias,18.0
16498,deliciious,19.0
16499,delicioius,19.0
16500,delicios,15.0
16501,deliciosa,17.0
16503,deliciosos,14.0
16508,delicioussss,17.0
16509,deliciousssss,15.0
16510,deliciuos,13.0
16511,delicoius,19.0
16513,delicously,10.0
16514,delicousness,16.0
16515,delictable,19.0
16516,delicuous,12.0
16520,delighful,11.0
16529,delineated,14.0
16541,delishous,11.0
16545,deliverable,12.0
16547,deliverd,11.0
16558,delmar,14.0
16565,delphine,14.0
16582,delà,14.0
16589,demandes,10.0
16594,demarcated,10.0
16597,demean,18.0
16598,demeaned,12.0
16601,demeanors,12.0
16602,demeanour,18.0
16608,demers,11.0
16612,demie,19.0
16613,demiglace,14.0
16620,democrat,12.0
16622,democrats,11.0
16625,demoiselle,10.0
16639,demoralizing,12.0
16643,demotion,15.0
16650,deng,15.0
16651,dengaku,14.0
16652,denham,13.0
16654,denials,11.0
16661,denizen,14.0
16664,denken,10.0
16675,denon,12.0
16680,dens,19.0
16683,denseness,15.0
16685,densest,11.0
16694,dentro,16.0
16701,deo,12.0
16702,deoderant,17.0
16704,deodorize,11.0
16706,deon,17.0
16708,depalma,11.0
16725,dependence,12.0
16726,dependency,10.0
16728,dependents,12.0
16735,depictions,17.0
16737,depite,12.0
16738,deplane,17.0
16739,deplaned,10.0
16740,deplete,11.0
16744,deploy,10.0
16746,deploying,11.0
16748,depo,14.0
16749,deported,14.0
16757,depraved,12.0
16760,depressants,17.0
16762,depresses,17.0
16766,depressive,12.0
16771,depsite,11.0
16775,depts,17.0
16777,deputy,12.0
16784,dere,11.0
16788,deren,14.0
16791,derivatives,13.0
16794,derives,17.0
16797,dermabrasion,16.0
16798,dermal,19.0
16804,dern,15.0
16815,derzeit,19.0
16819,descendants,11.0
16822,descendre,12.0
16826,descibe,10.0
16848,deservingly,10.0
16849,desfois,11.0
16851,deshebrada,13.0
16852,deshedding,12.0
16853,deshelled,13.0
16855,desiccated,18.0
16859,designates,10.0
16860,designating,17.0
16874,desist,17.0
16879,desktops,17.0
16882,desolation,14.0
16885,desparately,17.0
16896,después,11.0
16897,dessen,14.0
16902,dessicated,14.0
16903,dessins,11.0
16905,desssert,14.0
16911,destinationcoupons,17.0
16915,destitute,16.0
16916,destress,14.0
16931,detachment,12.0
16937,detain,10.0
16948,detects,13.0
16955,deteriorates,13.0
16968,detestable,10.0
16970,detests,10.0
16977,detoxification,16.0
16978,detoxify,13.0
16992,detroiter,11.0
17003,deuxièmement,11.0
17005,devais,17.0
17007,devalued,14.0
17014,devein,11.0
17023,developmentally,13.0
17029,devenue,13.0
17031,devi,12.0
17035,deviates,17.0
17038,deviations,16.0
17048,devilled,17.0
17055,devising,10.0
17056,devito,12.0
17057,devo,14.0
17058,devoe,12.0
17061,devolve,10.0
17062,devolved,17.0
17065,devore,13.0
17070,devotes,15.0
17071,devoting,15.0
17079,devrais,15.0
17081,devrez,15.0
17082,devriez,12.0
17084,dewar,13.0
17085,dewars,15.0
17087,dewy,15.0
17088,dex,15.0
17091,dexters,10.0
17095,dfh,13.0
17100,dgaf,17.0
17105,dhl,19.0
17109,diabeetus,15.0
17115,diablito,12.0
17129,diagrams,19.0
17130,diakon,18.0
17133,dialects,10.0
17139,dialup,11.0
17140,dialysis,14.0
17141,diamante,10.0
17176,dicke,10.0
17177,dicked,16.0
17178,dicken,13.0
17180,dicker,15.0
17181,dickerson,19.0
17185,dickheads,17.0
17188,dicking,15.0
17189,dickinson,13.0
17190,dickish,15.0
17192,dickson,16.0
17196,dictating,12.0
17197,dictator,19.0
17199,diculous,12.0
17206,didnot,16.0
17213,diehards,12.0
17216,dienstag,10.0
17226,diesmal,16.0
17231,dietetic,13.0
17234,dietitian,16.0
17241,diffent,10.0
17245,differen,13.0
17256,differentiators,10.0
17258,differents,13.0
17265,difficilement,16.0
17272,diffrence,10.0
17277,diffusers,18.0
17278,diffusing,11.0
17294,digestives,10.0
17295,digests,10.0
17296,digg,12.0
17304,digi,14.0
17309,digitized,10.0
17312,digity,17.0
17314,dignes,10.0
17318,digressed,17.0
17319,digressing,14.0
17320,digression,19.0
17323,digérer,11.0
17324,diho,18.0
17326,dijonaise,10.0
17332,dilating,12.0
17336,dilema,12.0
17343,dilla,17.0
17347,dillions,12.0
17348,dillo,17.0
17351,dills,12.0
17352,dillworth,13.0
17358,dilution,11.0
17361,dimaggio,11.0
17363,dimanches,14.0
17364,dimas,15.0
17367,dimeing,14.0
17382,dimmers,17.0
17384,dimmly,15.0
17386,dimple,15.0
17388,dims,17.0
17390,dimwit,14.0
17391,dimwitted,14.0
17394,dinde,13.0
17399,dinerish,16.0
17405,dingbat,16.0
17408,dinger,12.0
17409,dingey,19.0
17410,dingier,16.0
17411,dingiest,14.0
17412,dinginess,19.0
17416,dinig,13.0
17419,diningroom,15.0
17421,dinks,15.0
17423,dinnah,13.0
17426,dinnermate,11.0
17431,dinnner,18.0
17437,dinty,15.0
17446,dipa,12.0
17449,diplomacy,16.0
17450,diplomas,11.0
17453,diplomatically,11.0
17454,dippable,18.0
17464,dipshits,16.0
17480,directives,11.0
17482,directness,12.0
17491,direz,14.0
17492,diriger,14.0
17494,dirndl,16.0
17495,dirrty,13.0
17497,dirtbag,14.0
17498,dirtbags,14.0
17500,dirties,13.0
17504,dirtying,10.0
17506,disaapointed,10.0
17512,disadvantaged,11.0
17514,disaffected,19.0
17520,disagreements,14.0
17522,disais,14.0
17529,disapoints,12.0
17535,disappoinment,18.0
17538,disappointedly,10.0
17544,disapponted,18.0
17545,disapppointed,11.0
17548,disapproved,11.0
17550,disapprovingly,15.0
17551,disarm,16.0
17557,disassembling,19.0
17558,disassembly,10.0
17563,disastrously,16.0
17564,disatisfaction,11.0
17565,disatisfied,11.0
17571,discards,11.0
17574,discerned,12.0
17579,discharging,16.0
17580,disciple,16.0
17582,disciplinary,17.0
17585,disciplines,19.0
17586,disclaim,13.0
17593,disclosures,10.0
17599,discomforting,10.0
17600,disconcerted,16.0
17602,disconcertingly,13.0
17611,discord,12.0
17613,discotheque,15.0
17616,discounter,16.0
17617,discounters,13.0
17648,discription,16.0
17661,disdainfully,15.0
17667,disembodied,10.0
17669,disengage,13.0
17672,disfigured,13.0
17673,disfunctional,11.0
17675,disgraced,13.0
17680,disguises,16.0
17682,disguisting,18.0
17685,disgustedly,10.0
17688,disgustingness,12.0
17698,dishonestly,16.0
17700,dishonor,11.0
17701,dishrag,11.0
17702,dishs,15.0
17709,disinclined,11.0
17719,disintegration,11.0
17729,dislocate,10.0
17731,dislodge,13.0
17734,dismally,13.0
17737,dismantling,16.0
17743,dismisses,15.0
17748,disneyesque,13.0
17758,disorientated,10.0
17761,disown,13.0
17762,disowned,12.0
17771,dispatching,13.0
17773,dispelled,18.0
17774,dispendieuses,11.0
17776,dispensaries,12.0
17789,displacement,11.0
17794,displease,11.0
17798,dispointed,13.0
17804,disposals,11.0
17811,disppointing,10.0
17818,disqualified,16.0
17822,disregards,10.0
17831,disrobed,11.0
17838,disrupts,11.0
17840,dissapear,11.0
17842,dissapearing,10.0
17848,dissappeared,19.0
17862,dissenting,10.0
17870,dissipating,18.0
17875,dissonance,14.0
17879,dist,17.0
17880,distain,16.0
17886,distemper,12.0
17887,distended,19.0
17889,distillation,12.0
17891,distiller,11.0
17901,distinctiveness,10.0
17903,distingue,11.0
17909,distort,10.0
17911,distorting,14.0
17921,distrct,16.0
17927,distributer,10.0
17928,distributes,19.0
17937,distrustful,11.0
17947,ditalini,14.0
17950,ditches,13.0
17952,dites,14.0
17960,divan,17.0
17961,divans,15.0
17963,divaz,12.0
17968,diverge,14.0
17969,diverged,13.0
17977,diversifiée,14.0
17980,diversions,18.0
17996,divier,10.0
18004,divins,17.0
18007,divisé,14.0
18010,divorcees,15.0
18011,divot,19.0
18015,divulging,12.0
18016,divvied,14.0
18025,dizaines,19.0
18027,dizzle,10.0
18032,django,10.0
18033,djed,12.0
18034,djentrification,11.0
18044,dlp,18.0
18046,dlv,12.0
18053,dmx,11.0
18056,dnb,13.0
18066,dobash,15.0
18069,dobhan,17.0
18082,docket,16.0
18087,doctorate,19.0
18098,dod,17.0
18099,dodd,11.0
18105,dodgey,10.0
18111,doenjang,11.0
18113,doenst,10.0
18114,doers,10.0
18118,doest,16.0
18121,doge,14.0
18123,dogfishhead,18.0
18124,dogfood,17.0
18126,dogged,19.0
18127,doggery,15.0
18134,dogie,11.0
18135,dogleg,15.0
18136,dogma,17.0
18142,doily,19.0
18145,doings,13.0
18148,doivent,17.0
18150,dokey,10.0
18151,dokie,15.0
18157,doldrums,19.0
18168,dollas,15.0
18170,doller,13.0
18171,dollers,13.0
18174,dollies,17.0
18179,dollup,10.0
18190,dolt,17.0
18196,domenic,18.0
18197,domenico,18.0
18201,domesticated,18.0
18203,domicile,18.0
18220,dominoe,14.0
18229,donaldson,18.0
18239,donavan,11.0
18248,donkatsu,15.0
18259,donnera,14.0
18263,donno,18.0
18266,donnée,12.0
18274,dontcha,12.0
18277,donutsville,11.0
18285,doodling,17.0
18286,doodoo,11.0
18288,doogh,14.0
18289,doogie,11.0
18290,dook,15.0
18291,dookie,19.0
18292,doolittle,19.0
18295,doomsday,11.0
18298,dooo,15.0
18299,doooo,12.0
18300,dooper,18.0
18303,doorbells,18.0
18304,doored,14.0
18306,doorknobs,16.0
18310,doorn,17.0
18311,doornail,14.0
18314,doorsteps,11.0
18315,doorstop,19.0
18321,doped,12.0
18324,dopo,15.0
18325,dopolis,13.0
18326,doppelbock,13.0
18327,doppelganger,13.0
18328,doppelgänger,12.0
18332,dorade,16.0
18335,dorchester,16.0
18339,dorian,18.0
18340,doriee,19.0
18356,dorthin,17.0
18360,dorée,16.0
18364,dosages,12.0
18372,dosh,11.0
18374,dosn,16.0
18375,dosnt,13.0
18387,doté,11.0
18393,doublewide,12.0
18400,doubtless,10.0
18404,douch,19.0
18410,douchebaggy,15.0
18412,doucher,16.0
18413,douchers,18.0
18417,douchiest,14.0
18418,douchiness,17.0
18423,doughboys,15.0
18424,doughey,10.0
18425,doughier,19.0
18426,doughiness,19.0
18435,dounuts,11.0
18437,dourves,16.0
18442,douteux,12.0
18446,dovecot,16.0
18461,downgrades,19.0
18467,downloadable,14.0
18474,downplayed,17.0
18476,downrange,13.0
18487,downstream,11.0
18492,downtowner,14.0
18494,downtowns,13.0
18501,dowsed,12.0
18502,dowsing,11.0
18504,doxie,16.0
18514,dpov,15.0
18516,dqs,12.0
18520,drabby,13.0
18525,drafthouse,19.0
18536,dragonflies,17.0
18540,dragoon,15.0
18549,drak,12.0
18554,dramamine,15.0
18558,dramatics,17.0
18559,drambuie,17.0
18564,drano,10.0
18576,drats,13.0
18592,drawstring,11.0
18593,dray,18.0
18595,drea,15.0
18601,dreadlocked,11.0
18607,dreamily,10.0
18609,dreaminess,10.0
18614,dreamscape,12.0
18615,dreamscapes,18.0
18623,dredging,15.0
18624,dreds,13.0
18627,dreich,11.0
18633,dresden,11.0
18647,drewes,15.0
18650,dri,15.0
18653,dribbles,14.0
18663,drifters,14.0
18672,dringend,17.0
18674,drinkability,10.0
18682,drinko,12.0
18687,drinx,19.0
18691,drippin,12.0
18698,driveable,15.0
18699,driveins,16.0
18701,driveline,13.0
18711,drivin,17.0
18713,drizzed,10.0
18721,droite,15.0
18722,droll,19.0
18724,droned,11.0
18731,droolworthy,14.0
18732,droool,18.0
18733,drooool,14.0
18735,drooooool,10.0
18737,drooped,12.0
18738,drooping,19.0
18744,dropoffs,11.0
18764,dru,18.0
18765,drudgery,16.0
18768,druggie,18.0
18773,druken,12.0
18776,drummed,10.0
18787,drunchie,11.0
18798,drunkie,17.0
18801,drunkness,16.0
18808,drycleaners,18.0
18813,dryest,16.0
18815,dryly,13.0
18821,dsg,13.0
18826,dtb,13.0
18827,dtc,16.0
18828,dtf,16.0
18829,dtla,13.0
18831,dtown,16.0
18833,dtphx,14.0
18837,dually,14.0
18844,dubbing,10.0
18845,dubina,18.0
18855,ducats,17.0
18860,duckets,16.0
18861,duckfat,12.0
18866,ducklings,14.0
18872,ducting,11.0
18876,duddingston,18.0
18880,dudettes,12.0
18888,duets,18.0
18893,dufus,12.0
18895,dugan,14.0
18896,duggan,17.0
18898,dugouts,10.0
18900,duhh,14.0
18901,duhhh,15.0
18902,duhhhh,16.0
18909,dulces,14.0
18910,dulcet,13.0
18914,dulles,19.0
18915,dullest,11.0
18916,dulling,10.0
18917,dullness,17.0
18918,dulls,10.0
18933,dumbly,10.0
18934,dumbo,16.0
18942,dumplin,15.0
18952,dums,11.0
18956,dundas,17.0
18962,dungenous,12.0
18966,dungy,18.0
18975,dunkle,19.0
18980,duno,11.0
18981,dunwellz,17.0
18984,duos,19.0
18985,dup,17.0
18991,duplex,18.0
18996,duplication,15.0
18997,duplissis,12.0
19002,dura,11.0
19016,dures,10.0
19023,durn,11.0
19036,dusts,12.0
19039,dutchess,13.0
19040,dutchies,10.0
19043,dutiful,16.0
19045,dutton,19.0
19047,duuude,11.0
19048,duval,10.0
19053,duxelles,15.0
19058,dvm,16.0
19064,dwarves,11.0
19067,dweebs,11.0
19072,dwellings,13.0
19073,dwells,12.0
19077,dwindles,14.0
19084,dyeing,16.0
19086,dyers,10.0
19088,dyi,16.0
19096,dynamo,17.0
19099,dynomite,19.0
19101,dysentery,12.0
19104,dyslexia,11.0
19106,dysplasia,14.0
19110,dé,15.0
19111,débile,11.0
19114,débuter,14.0
19115,décadent,19.0
19116,décarie,11.0
19119,déceptions,12.0
19121,décevante,16.0
19126,déconseille,17.0
19131,décorations,15.0
19137,découvre,18.0
19140,dédié,13.0
19142,défi,11.0
19144,dégage,18.0
19146,dégustations,15.0
19149,déja,10.0
19153,délai,16.0
19154,délectable,10.0
19155,délicat,15.0
19156,délicate,11.0
19160,délicieusement,10.0
19164,dénicher,19.0
19166,dépanneurs,11.0
19169,dépendamment,13.0
19170,dépendant,11.0
19171,dépense,10.0
19174,déplacer,19.0
19175,déposer,11.0
19176,dérange,15.0
19177,déranger,17.0
19179,désastre,10.0
19180,désert,16.0
19181,désigné,11.0
19183,désirez,17.0
19185,désolée,12.0
19186,désormais,12.0
19189,détendre,18.0
19190,détendue,12.0
19205,e4,19.0
19206,e61,16.0
19208,eac,18.0
19210,eachothers,14.0
19216,eaither,17.0
19220,eardrum,11.0
19224,earing,11.0
19225,earings,12.0
19229,earlobes,17.0
19241,earphone,11.0
19244,earpieces,13.0
19251,earthen,11.0
19252,earthenware,14.0
19257,earthquakes,16.0
19263,easels,16.0
19268,easiness,13.0
19271,easliy,16.0
19274,eastcoast,13.0
19277,easterner,13.0
19278,easterners,18.0
19279,eastfield,17.0
19292,eat24hours,13.0
19294,eataly,10.0
19295,eatcu,14.0
19303,eaterys,10.0
19304,eather,11.0
19307,eatinginpittsburgh,12.0
19313,eatz,15.0
19315,eave,10.0
19320,eaw,12.0
19325,ebbs,14.0
19328,ebene,11.0
19329,ebenen,10.0
19330,ebenezer,12.0
19333,ebert,17.0
19335,ebisu,16.0
19338,ebooks,14.0
19339,ebs,14.0
19341,ebullient,13.0
19344,eccentricities,13.0
19349,ech,11.0
19351,echelons,10.0
19352,echigo,14.0
19362,echten,11.0
19363,echter,10.0
19364,echtes,10.0
19366,ecigs,15.0
19369,ecken,13.0
19372,eclaire,13.0
19373,eclaires,12.0
19380,eclipses,16.0
19383,ecoli,14.0
19384,ecological,16.0
19385,ecology,13.0
19386,econ,17.0
19388,econolodge,19.0
19393,economies,18.0
19395,economize,11.0
19404,ecu,13.0
19409,edamae,12.0
19411,edamames,14.0
19412,edamane,16.0
19418,edel,10.0
19419,edema,17.0
19429,edginess,13.0
19432,edi,12.0
19433,edibility,15.0
19438,edimame,19.0
19441,edinbugh,11.0
19442,edinburg,12.0
19445,edington,14.0
